questions,,
NO.,Question,Answer
1,Who played Annie Hall in the Woody Allen movie?,Diane Keaton
2,What is a nickname for the Academy Awards?,The Oscars
3,What popular Disney character makes an appearance as a stuffed animal in the film Frozen?,Mickey Mouse
4,What was the first feature-length animated movie ever released?,Snow White and the Seven Dwarfs
5,"In The Matrix, does Neo take the blue pill or the red pill?",Red
6,Who played Juror Number 8 in 12 Angry Men?,Henry Fonda
7,In what 1976 thriller does Robert De Niro famously say “You talkin’ to me?”,Taxi Driver
8,For what movie did Steven Spielberg win his first Oscar for Best Director?,Schindler’s List
9,Marlon Brando “could have been a contender” in what iconic 1954 crime drama?,On the Waterfront
10,Who is the only actor to receive an Oscar nomination for acting in a Lord of the Rings movie?,Ian McKellen
11,For which 1964 musical blockbuster did Julie Andrews win the Academy Award for Best Actress?,Mary Poppins
12,What is the highest-grossing R-rated movie of all time?,Joker
13,What 1994 crime film revitalized John Travolta’s career?,Pulp Fiction
14,Which 1948 Alfred Hitchcock movie starred James Stewart and was shot to look like one continuous take?,Rope
15,The stage play Everybody Comes to Rick’s was adapted for the screen to become what 1942 Best Picture winner?,Casablanca
16,"Who wrote the famous, scary theme music from Halloween?",John Carpenter
17,What animated classic was the first film of the late-twentieth-century “Disney Renaissance?”,The Little Mermaid
18,"In Apocalypse Now, Robert Duvall says, “I love the smell of _____ in the morning.”",Napalm
19,Aaron Sorkin won an Oscar for writing what 2010 drama about the creation of Facebook?,The Social Network
20,What was Audrey Hepburn’s birth name?,Audrey Kathleen Ruston
21,Joaquin Phoenix received his first Oscar nomination for playing Roman emperor Commodus in what 2000 Oscar-winning epic?,Gladiator
22,Which Alfred Hitchcock thriller is notorious for its shocking “shower scene”?,Psycho
23,Who wrote the screenplay for Rocky?,Sylvester Stallone
24,What national monument does Cary Grant climb in the heart-pounding final moments of North by Northwest?,Mount Rushmore
25,What was Quentin Tarantino‘s first feature as writer/director?,Reservoir Dogs
26,Which Oscar-winning blonde bombshell played James Stewart’s love interest Lisa Carol Fremont in Rear Window?,Grace Kelly
27,Who is the only person ever to receive an Oscar nomination for acting in a Star Wars movie?,Alec Guinness
28,"What actress’ name, who voices Princess Elsa in the Frozen films, did John Travolta botch at the 2014 Oscars?",Idina Menzel
29,What is the real name of Uma Thurman’s “The Bride” character from Kill Bill?,Beatrix Kiddo
30,What prominent American director won an Oscar for helming Forrest Gump?,Robert Zemeckis
31,What movie holds the record for most Oscar wins without winning Best Picture (eight wins total)?,Cabaret
32,In what 1969 James Bond thriller does the famous spy fall in love and get married?,On Her Majesty’s Secret Service
33,What is the highest-grossing movie of all time when taking inflation into account?,Gone With the Wind
34,What is the highest-grossing movie of all time when not taking inflation into account?,Avengers: Endgame
35,What is the only ‘X’-rated film to win Best Picture at the Oscars?,Midnight Cowboy
36,"This acclaimed, Oscar-winning filmmaker directed Happy Feet, Babe: Pig in the City and Mad Max: Fury Road.",George Miller
37,How many Oscars has Meryl Streep won?,3
38,How many Oscars has Meryl Streep been nominated for?,21
39,What Martin Scorsese movie holds the all-time record for F-bombs?,The Wolf of Wall Street
40,Who played the Green Goblin in 2002 box-office smash Spider-Man?,Willem Dafoe
41,"Near the end of Vertigo, when Judy transforms into Madeline, she is bathed in what color light?",Green
42,"Which character got help doing his taxes from Andy in the movie ""The Shawshank Redemption""?",Byron Hadley
43,Whose combat mannerism did Neo imitate during his training session with Morpheus?,Bruce Lee
44,"On the day of his wife's murder, what drink was Andy drinking in the movie ""The Shawshank Redemption""?",Bourbon
45,Lilly Wachowski claims that The Matrix is a '____ metaphor'?,Trans
46,What was Lana Wachowski's name before her transition?,Larry
47,What was Lilly Wachowski's name before her transition?,Andy
